City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lae,-6.7221,146.9847,29.16,65,100,1.09,PG,1682136636
1,wairoa,-39.0333,177.3667,23.64,70,97,1.34,NZ,1682136637
2,vaini,-21.2,-175.2,27.09,65,40,3.6,TO,1682136637
3,greenwood,34.1668,-82.1165,19.6,71,20,4.63,US,1682136638
4,dubrovnik,42.6481,18.0922,14.8,62,0,0.51,HR,1682136638
5,qaanaaq,77.484,-69.3632,-10.52,71,100,1.2,GL,1682136639
6,ploemeur,47.7333,-3.4333,10.46,91,100,1.03,FR,1682136639
7,nizhniy odes,63.6445,54.856,0.27,100,100,2.46,RU,1682136640
8,faanui,-16.4833,-151.75,28.31,79,68,7.77,PF,1682136640
9,deputatskiy,69.3,139.9,-8.01,87,100,1.93,RU,1682136641
10,katherine,-14.4667,132.2667,33.18,31,15,8.75,AU,1682136641
11,cabo san lucas,22.8909,-109.9124,24.61,69,100,5.33,MX,1682136347
12,zhangye,38.9342,100.4517,10.34,42,100,2.53,CN,1682136643
13,kodiak,57.79,-152.4072,9.73,37,0,1.54,US,1682136643
14,norman wells,65.282,-126.8329,-4.55,96,100,1.2,CA,1682136643
15,xining,36.6167,101.7667,6.79,54,100,2.97,CN,1682136644
16,hithadhoo,-0.6,73.0833,29.33,73,55,3.96,MV,1682136644
17,san policarpo,12.1791,125.5072,29.28,72,82,3.68,PH,1682136645
18,bluff,-46.6,168.3333,14.61,84,98,9.57,NZ,1682136482
19,ternate,0.8,127.4,29.35,69,64,2.3,ID,1682136647
20,bollnas,61.3482,16.3946,4.55,91,15,1.19,SE,1682136647
21,atar,20.5169,-13.0499,25.49,18,79,2.08,MR,1682136648
22,hilo,19.7297,-155.09,25.85,81,40,5.14,US,1682136472
23,hermanus,-34.4187,19.2345,12.11,71,100,1.4,ZA,1682136521
24,torbay,47.6666,-52.7314,1.82,95,100,3.13,CA,1682136569
25,rikitea,-23.1203,-134.9692,26.17,83,100,7.12,PF,1682136483
26,mamlyutka,54.9375,68.5394,9.01,59,100,5.95,KZ,1682136650
27,avarua,-21.2078,-159.775,25.03,83,75,2.06,CK,1682136651
28,state college,40.7934,-77.86,20.1,83,0,1.54,US,1682136528
29,cherskiy,68.75,161.3,0.18,93,8,1.15,RU,1682136652
30,beloha,-25.1667,45.05,20.49,91,81,1.57,MG,1682136653
31,aberfeldy,56.62,-3.8645,2.85,75,8,2.63,GB,1682136653
32,butaritari,3.0707,172.7902,28.44,77,31,5.05,KI,1682136654
33,tiksi,71.6872,128.8694,-12.74,86,93,1.72,RU,1682136473
34,port alfred,-33.5906,26.891,15.66,81,100,4.56,ZA,1682136655
35,katsuura,35.1333,140.3,12.64,60,100,5.92,JP,1682136655
36,bethanien,-26.502,17.1583,15.39,33,55,3.24,NA,1682136656
37,fairbanks,64.8378,-147.7164,4.98,60,100,0.0,US,1682136405
38,punta arenas,-53.15,-70.9167,5.62,75,75,6.69,CL,1682136657
39,diego de almagro,-26.3667,-70.05,16.39,47,100,2.16,CL,1682136657
40,tula,54.2044,37.6111,7.11,73,31,4.21,RU,1682136658
41,puerto ayora,-0.7393,-90.3518,26.42,91,33,4.02,EC,1682136658
42,udachnyy,66.4167,112.4,-4.23,78,100,4.93,RU,1682136658
43,hovd,48.0056,91.6419,1.06,24,67,2.65,MN,1682136659
44,thaba-tseka,-29.522,28.6084,5.77,53,51,4.32,LS,1682136659
45,fare,-16.7,-151.0167,28.09,79,32,7.88,PF,1682136660
46,zhezkazgan,47.8043,67.7144,9.99,25,0,6.0,KZ,1682136660
47,parabel,58.6978,81.4825,4.22,69,88,3.61,RU,1682136660
48,makakilo city,21.3469,-158.0858,26.18,77,0,5.14,US,1682136661
49,dunedin,-45.8742,170.5036,16.2,65,49,0.44,NZ,1682136390
50,ushuaia,-54.8,-68.3,3.81,70,20,2.57,AR,1682136335
51,manta,-0.95,-80.7333,25.88,83,75,2.06,EC,1682136662
52,busselton,-33.65,115.3333,23.9,34,0,3.54,AU,1682136662
53,krasnoselkup,65.7,82.4667,0.69,100,100,5.74,RU,1682136663
54,kaspiyskiy,45.3929,47.3707,13.45,64,94,5.57,RU,1682136663
55,hoi an,15.8794,108.335,33.98,64,4,4.05,VN,1682136663
56,barra,-11.0894,-43.1417,23.9,71,5,2.6,BR,1682136477
57,songea,-10.6833,35.65,18.38,95,100,1.28,TZ,1682136664
58,victoria,22.2855,114.1577,26.65,83,100,8.94,HK,1682136259
59,soto la marina,23.7667,-98.2167,21.89,87,100,2.52,MX,1682136665
60,cabedelo,-6.9811,-34.8339,25.37,75,100,5.24,BR,1682136665
61,pevek,69.7008,170.3133,-1.21,71,18,1.04,RU,1682136496
62,adelaide,-34.9333,138.6,24.95,52,20,5.14,AU,1682136628
63,shelburne,44.0787,-80.2041,6.24,94,100,0.83,CA,1682136666
64,akyab,20.15,92.9,30.83,67,34,3.49,MM,1682136667
65,saint-philippe,-21.3585,55.7679,25.77,76,26,3.11,RE,1682136667
66,kapaa,22.0752,-159.319,26.99,84,0,3.09,US,1682136668
67,bandarbeyla,9.4942,50.8122,28.68,64,69,3.81,SO,1682136668
68,tuktoyaktuk,69.4541,-133.0374,-13.02,94,100,5.83,CA,1682136669
69,oranjemund,-28.55,16.4333,10.68,85,13,1.89,NA,1682136669
70,miandrivazo,-19.5167,45.4667,24.44,83,94,0.66,MG,1682136670
71,beringovskiy,63.05,179.3167,-1.1,77,3,0.86,RU,1682136671
72,los andes,-32.8337,-70.5983,11.67,62,41,0.68,CL,1682136110
73,lebu,-37.6167,-73.65,11.94,93,19,4.32,CL,1682136672
74,haines junction,60.7522,-137.5108,1.71,84,52,1.48,CA,1682136672
75,miles city,46.4083,-105.8406,-0.46,80,100,4.63,US,1682136672
76,poum,-20.2333,164.0167,26.49,79,47,3.71,NC,1682136480
77,upernavik,72.7868,-56.1549,-3.13,94,100,7.43,GL,1682136674
78,provideniya,64.3833,-173.3,0.64,86,10,0.26,RU,1682136674
79,aklavik,68.2191,-135.0107,-9.33,94,100,6.24,CA,1682136675
80,albany,42.6001,-73.9662,13.84,57,85,2.24,US,1682136672
81,lasa,46.6166,10.7002,4.65,80,96,0.74,IT,1682136676
82,yaguajay,22.3272,-79.2378,23.5,79,12,2.8,CU,1682136677
83,bintulu,3.1667,113.0333,30.4,69,76,2.84,MY,1682136677
84,makhachkala,42.9764,47.5024,15.99,92,100,0.67,RU,1682136678
